location,region,realm,culture,faith,rank,source
me_land_3146,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3147,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3148,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3149,me_dale_region,ESG,me_dalish,me_northern_ways,place,"The Hobbit, Ch. 10"
me_land_3150,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_3151,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3152,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3153,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3154,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_3155,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3156,me_angmar_region,ANG,me_northern_orc,me_melkorism,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3157,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3158,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3159,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3160,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3161,me_rohan_region,ISE,me_isengard_uruk,me_sauron_cult,place,"LOTR, Book III"
me_land_3162,me_south_gondor_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3163,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3164,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3165,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3166,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3167,me_anduin_vale_region,BEO,me_beorning,me_northern_ways,place,"The Hobbit, Ch. 7"
me_land_3168,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3169,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3170,me_brown_lands_region,DOL,me_mordor_orc,me_sauron_cult,place,"LOTR, Appendix B"
me_land_3171,me_lindon_region,BLU,me_firebeard_broadbeam,me_mahal_cult,place,"The Silmarillion; † ENDORE plan 6.1"
me_land_3172,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3173,me_grey_mountains_region,ERE,me_longbeard,me_mahal_cult,place,"The Hobbit, Ch. 1"
me_land_3174,me_angmar_region,WILD,me_northern_orc,me_melkorism,wilderness,"LOTR, Appendix A"
me_land_3175,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3176,me_far_harad_region,HFA,me_far_haradrim,me_southron_ways,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3177,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3178,me_anorien_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3179,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_3180,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3181,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3182,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3183,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_3184,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3185,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3186,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3187,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3188,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3189,me_shire_breeland_region,SHI,me_shire_hobbit,me_northern_ways,place,"LOTR, Book I"
me_land_3190,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3191,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3192,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3193,me_anduin_vale_region,MOA,me_misty_orc,me_melkorism,place,"LOTR, Book II"
me_land_3194,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3195,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3196,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3197,me_far_harad_region,HFA,me_far_haradrim,me_southron_ways,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3198,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3199,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3200,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3201,me_near_harad_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3202,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3203,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_3204,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3205,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3206,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3207,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3208,me_south_gondor_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3209,me_rhun_region,RH3,me_sagath,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3210,me_far_harad_region,HFA,me_far_haradrim,me_southron_ways,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3211,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3212,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3213,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3214,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_3215,me_anduin_vale_region,BEO,me_beorning,me_northern_ways,place,"The Hobbit, Ch. 7"
me_land_3216,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3217,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3218,me_ithilien_region,WILD,me_gondorian,me_valar_worship,wilderness,"LOTR map"
me_land_3219,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3220,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3221,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3222,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3223,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3224,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3225,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3226,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3227,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3228,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3229,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3230,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3231,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3232,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3233,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3234,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3235,me_anorien_region,DRU,me_druedain,me_druedain_ways,place,"LOTR, Book V, Ch. 5"
me_land_3236,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_3237,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3238,me_north_arnor_region,RIV,me_noldor,me_valar_worship,place,"LOTR, Book II"
me_land_3239,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3240,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3241,me_near_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3242,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_3243,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3244,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3245,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3246,me_near_harad_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3247,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3248,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_3249,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3250,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3251,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3252,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3253,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3254,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3255,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3256,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3257,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3258,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3259,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_3260,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3261,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3262,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3263,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3264,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3265,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3266,me_rhun_region,RH3,me_sagath,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3267,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_3268,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3269,me_shire_breeland_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I"
me_land_3270,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_3271,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3272,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3273,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3274,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3275,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3276,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3277,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_3278,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_3279,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3280,me_anduin_vale_region,FAN,me_onodrim,me_eldest_ways,place,"LOTR, Book III, Ch. 4"
me_land_3281,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3282,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3283,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3284,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3285,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3286,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3287,me_shire_breeland_region,SHI,me_shire_hobbit,me_northern_ways,place,"LOTR, Book I"
me_land_3288,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3289,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3290,me_north_arnor_region,RAN,me_arnor_dunedain,me_valar_worship,place,"LOTR, Appendix A"
me_land_3291,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3292,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3293,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_3294,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3295,me_grey_mountains_region,GUN,me_northern_orc,me_melkorism,place,"LOTR, Appendix A"
me_land_3296,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3297,me_belfalas_region,DAM,me_dol_amrothian,me_valar_worship,place,"LOTR, Book V, Ch. 1"
me_land_3298,me_shire_breeland_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I"
me_land_3299,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3300,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3301,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3302,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3303,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3304,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3305,me_north_arnor_region,ANG,me_northern_orc,me_melkorism,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3306,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3307,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_3308,me_far_harad_region,HFA,me_far_haradrim,me_southron_ways,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3309,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_3310,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3311,me_anduin_vale_region,LOR,me_galadhrim,me_valar_worship,place,"LOTR, Book II, Ch. 6"
me_land_3312,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3313,me_near_harad_region,HRA,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_3314,me_north_arnor_region,RIV,me_noldor,me_valar_worship,place,"LOTR, Book II"
me_land_3315,me_anorien_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3316,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3317,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_3318,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3319,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3320,me_anduin_vale_region,MOA,me_misty_orc,me_melkorism,place,"LOTR, Book II"
me_land_3321,me_ithilien_region,WILD,me_gondorian,me_valar_worship,wilderness,"LOTR map"
me_land_3322,me_dale_region,DAL,me_dalish,me_northern_ways,place,"The Hobbit, Ch. 14"
me_land_3323,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3324,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_3325,me_shire_breeland_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I"
me_land_3326,me_far_harad_region,HFA,me_far_haradrim,me_southron_ways,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3327,me_near_harad_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3328,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3329,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3330,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3331,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3332,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3333,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3334,me_dale_region,ESG,me_dalish,me_northern_ways,place,"The Hobbit, Ch. 10"
me_land_3335,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3336,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3337,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3338,me_anduin_vale_region,GOB,me_misty_orc,me_melkorism,place,"The Hobbit, Ch. 4"
me_land_3339,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3340,me_forochel_region,LOS,me_lossoth,me_lossoth_ways,place,"LOTR, Appendix A"
me_land_3341,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3342,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3343,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3344,me_angmar_region,WILD,me_northern_orc,me_melkorism,wilderness,"LOTR, Appendix A"
me_land_3345,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3346,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3347,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3348,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3349,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3350,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3351,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3352,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3353,me_far_harad_region,HFA,me_far_haradrim,me_southron_ways,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3354,me_forochel_region,LOS,me_lossoth,me_lossoth_ways,place,"LOTR, Appendix A"
me_land_3355,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3356,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3357,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_3358,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_3359,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3360,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3361,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3362,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3363,me_shire_breeland_region,BRE,me_eriadoran,me_northern_ways,landmark,"LOTR, Book I, Ch. 9"
me_land_3364,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3365,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3366,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3367,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3368,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3369,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_3370,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3371,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_3372,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3373,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3374,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3375,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_3376,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_3377,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3378,me_rhun_region,RH3,me_sagath,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3379,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3380,me_far_harad_region,HFA,me_far_haradrim,me_southron_ways,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3381,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_3382,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_3383,me_ithilien_region,WILD,me_gondorian,me_valar_worship,wilderness,"LOTR map"
me_land_3384,me_ithilien_region,WILD,me_gondorian,me_valar_worship,wilderness,"LOTR map"
me_land_3385,me_far_harad_region,HFA,me_far_haradrim,me_southron_ways,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3386,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_3387,me_south_gondor_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3388,me_north_arnor_region,RAN,me_arnor_dunedain,me_valar_worship,place,"LOTR, Appendix A"
me_land_3389,me_rohan_region,ROH,me_rohirric,me_northern_ways,ruin,"LOTR, Appendix A"
me_land_3390,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3391,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3392,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3393,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3394,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_3395,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_3396,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3397,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_3398,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_3399,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_3400,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
